Duration (in seconds),Brand Name,So1,So2,So3,So4,So5,So6,So7,So8,So9,So10,So11,So12,So13,So14,So15,So16,So17,Se1,Se2,Se3,Se4,Se5,Se6,Se7,Se8,Se9,Se10,Se11,Se12,Se13,Se14,Se15,Se16,Se17,BSC1,BSC2,BSC3,P1,P2,RSE1,RSE2,RSE3,RSE4,RSE5,RSE6,RSE7,RSE8,RSE9,RSE10,SC1,SC2,SC3,SC4,SC5,PS1,PS2,PS3,PS4,PS5,PS6,PS7,PS8,PS9,MVS1,MVS2,MVS3,MVC1,MVC2,MVC3,MVH1,MVH2,MVH3,GA1,GA2,Ethnicity,Income,Social Status,Attention_1,Gender,Age,Sex
398,GUCCI,7,1,1,1,1,1,1,1,1,1,1,7,7,2,1,9,1,2,9,1,1,1,7,1,1,1,9,9,7,9,9,9,9,9,1,1,1,1,1,9,1,9,9,1,1,9,6,1,9,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,2,1,6,6,7,5,6,4,5,5,White/Caucasian,less than $30k,3,4,0,21,M
601,GUCCI,6,6,2,6,1,4,2,1,7,2,2,6,7,3,1,5,2,3,9,2,4,3,8,4,8,6,9,9,8,7,7,9,9,8,1,1,1,1,1,7,9,9,9,2,9,9,9,6,3,2,2,5,6,2,6,3,6,3,6,1,1,5,6,2,7,6,3,9,6,5,4,6,6,4,Pacifiic Islander,"$100k-149,999",4,4,1,24,F
437,LOUIS VUITTON,4,1,1,3,3,3,2,2,4,3,1,4,7,1,2,2,3,2,5,1,7,7,7,6,2,5,7,7,3,6,7,8,7,8,1,1,1,4,3,5,5,4,4,6,6,6,7,4,4,6,6,5,4,3,6,6,6,6,6,3,2,6,5,7,7,7,6,8,7,8,9,9,8,7,Hispanic,"$100k-149,999",6,4,1,21,F
229,Burberry,3,1,2,2,2,7,1,3,5,2,1,2,3,2,2,6,3,2,8,6,6,5,7,5,7,6,7,8,4,5,8,9,4,7,1,1,1,3,2,7,6,7,7,2,4,5,5,3,7,2,2,6,8,2,6,4,2,3,7,2,1,3,2,3,1,2,7,2,4,3,6,5,3,2,White/Caucasian,More than $150k,3,3,0,21,M
209,GUCCI,6,5,4,3,6,6,4,5,6,6,6,7,7,7,6,3,3,4,6,5,6,2,2,7,6,6,4,6,2,7,4,4,3,4,2,2,2,2,2,4,7,6,6,3,7,7,7,7,4,4,6,6,7,6,6,6,6,6,7,4,3,7,3,6,6,6,5,6,6,6,6,6,5,6,White/Caucasian,less than $30k,4,4,0,20,M
226,MERCEDES,6,6,6,5,5,7,6,4,5,7,7,6,6,6,5,5,6,6,6,6,5,5,6,5,5,6,6,5,5,5,5,6,5,5,5,5,6,5,5,6,5,7,6,2,2,3,3,3,7,4,6,6,4,3,6,6,5,5,5,4,6,5,5,6,5,6,6,6,6,6,5,6,5,6,White/Caucasian,"$90k-99,999",4,4,0,21,M
321,PXG,6,2,2,2,2,2,2,2,2,2,3,2,5,4,3,2,2,2,5,2,2,2,3,1,3,2,6,6,5,5,8,8,7,7,2,2,2,5,5,7,4,7,7,3,2,8,3,2,8,2,3,2,7,2,2,4,2,3,2,1,2,2,1,4,2,2,7,4,5,3,5,3,5,5,White/Caucasian,"$60-60,999",4,4,0,21,M
344,GUCCI,7,6,8,8,8,7,6,6,8,7,8,6,7,6,6,7,6,5,6,6,7,4,7,7,7,7,5,4,7,7,4,5,6,5,3,2,2,6,6,7,4,8,8,1,2,8,2,2,8,6,7,7,3,3,8,7,6,7,7,8,8,7,6,6,5,5,4,7,7,2,2,5,7,7,White/Caucasian,More than $150k,4,5,1,21,F
356,BMW,4,5,5,5,4,4,5,5,4,5,5,4,5,5,5,5,5,5,7,5,7,6,2,5,7,5,8,7,7,7,7,7,7,7,1,1,1,2,5,7,6,8,8,3,7,7,2,1,7,3,3,2,8,3,7,2,2,1,7,6,1,7,2,1,2,2,6,1,2,7,7,3,2,3,White/Caucasian,less than $30k,5,4,0,21,M
423,Chanel,7,8,7,7,6,3,7,6,6,8,8,7,8,6,6,5,5,1,6,8,7,6,9,6,6,4,4,6,4,6,6,4,2,4,6,4,6,7,7,6,3,8,6,4,5,9,8,2,6,6,9,8,2,8,7,7,6,9,8,6,9,9,7,8,6,9,2,8,9,4,5,6,9,4,Asian,More than $150k,3,5,1,21,F
563,LAMBORGHINI,7,3,4,6,6,5,8,6,8,2,2,5,6,3,5,4,5,1,8,5,5,5,6,5,6,5,9,8,8,6,7,7,8,7,6,7,7,6,6,6,7,7,8,2,6,7,8,2,6,2,5,2,7,3,6,6,7,5,5,1,1,2,4,1,2,5,4,4,7,5,7,8,8,4,White/Caucasian,"$100k-149,999",4,4,0,22,M
482,CHANEL,7,1,2,2,2,5,3,1,4,4,2,4,7,5,3,3,8,3,9,2,5,6,8,1,6,3,9,7,6,5,8,8,6,9,1,1,1,3,4,9,5,9,6,3,2,6,1,2,7,9,4,5,4,1,5,8,6,6,6,2,1,6,6,9,6,8,6,8,5,6,9,4,9,9,Pacifiic Islander,"$100k-149,999",5,4,0,21,M
701,AUDI,7,1,8,3,7,2,7,6,8,7,9,8,9,1,3,9,8,9,8,8,8,3,9,7,7,8,9,9,8,9,7,9,7,7,6,8,7,2,3,7,9,6,7,9,8,6,9,9,9,1,2,7,5,2,8,6,9,8,9,9,6,8,2,9,8,8,5,4,3,7,9,9,8,5,White/Caucasian,less than $30k,7,4,0,21,M
142,GUCCI,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,White/Caucasian,less than $30k,5,3,1,22,F
140,MERCEDES,9,9,9,9,9,9,8,8,8,9,8,8,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,8,8,8,9,9,9,8,9,8,9,8,9,8,9,9,9,8,9,9,9,9,9,9,8,9,8,9,9,7,9,9,9,9,8,8,9,9,9,8,White/Caucasian,More than $150k,8,5,1,20,F
357,GUCCI,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,6,1,1,4,6,1,1,1,6,7,6,1,9,9,9,9,1,1,1,9,9,9,7,7,9,7,7,7,6,1,5,1,3,1,7,1,9,1,1,1,9,3,1,9,5,1,1,1,7,5,4,1,1,1,1,1,White/Caucasian,less than $30k,2,5,1,22,F
287,MERCEDES,3,6,6,6,6,6,4,6,4,6,6,4,6,6,3,6,6,5,4,6,6,6,6,6,7,3,4,4,3,4,6,4,6,6,2,2,5,6,7,9,3,6,6,6,4,6,6,4,6,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,2,2,2,3,1,1,White/Caucasian,less than $30k,10,4,0,23,M
333,GUCCI,6,1,1,1,1,1,1,1,5,1,1,1,1,1,1,4,1,9,9,1,1,1,9,1,1,1,9,9,1,1,9,9,9,9,1,1,1,1,4,9,1,9,9,1,1,9,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,White/Caucasian,"$30k-39,999",6,5,0,23,M
374,MERCEDES,7,6,6,6,4,6,6,6,4,5,4,6,6,4,6,3,3,2,6,4,6,4,7,8,7,5,7,8,8,8,6,7,7,6,2,3,2,6,7,6,4,6,4,6,6,6,8,2,5,3,6,4,3,3,7,6,6,5,6,2,2,7,3,7,6,2,4,7,6,3,7,8,7,4,White/Caucasian,More than $150k,7,4,1,22,F
325,LOUIS VUITTON,1,1,2,1,2,2,1,1,6,1,1,1,5,1,1,9,7,5,9,1,1,1,9,1,1,1,9,9,9,1,1,9,1,1,1,1,1,1,1,9,1,9,7,5,1,7,1,1,9,1,1,1,9,1,6,1,1,5,1,1,1,1,1,1,1,1,1,7,1,1,1,1,7,7,African American,less than $30k,6,4,1,22,F
367,AUDI,8,6,3,6,7,2,3,2,7,7,9,7,7,3,4,8,3,1,7,7,4,4,7,3,2,2,7,7,8,3,8,8,4,6,1,1,2,6,6,9,1,8,7,1,2,9,2,1,9,1,6,7,6,3,1,6,3,2,3,2,1,4,2,2,1,2,7,8,2,2,6,6,6,8,Other,"$50k-50,999",4,4,0,22,M
348,TESLA,8,6,6,8,7,6,8,6,9,6,5,8,8,5,8,2,6,5,6,9,4,3,8,7,7,7,4,6,8,7,3,4,3,6,5,4,4,7,7,6,5,7,7,6,3,6,5,5,8,5,8,8,3,2,6,7,7,7,7,9,3,5,7,8,6,4,7,7,5,6,9,8,7,5,White/Caucasian,"$80-89,999",7,5,0,22,M
403,GUCCI,8,8,8,8,8,8,8,7,7,8,8,7,7,7,8,9,8,2,8,8,7,8,8,7,7,8,7,6,8,7,7,4,7,4,7,6,5,7,7,7,7,8,7,2,7,8,7,2,7,6,7,7,3,3,8,8,8,8,8,8,7,7,7,8,7,8,5,3,7,9,9,8,8,7,White/Caucasian,"$50k-50,999",4,5,0,21,M
469,LOUIS VUITTON,8,4,4,4,6,2,5,4,6,3,4,5,7,5,7,6,5,1,8,5,4,5,7,4,5,3,8,7,7,5,5,6,6,6,4,4,4,7,7,6,7,5,7,4,6,7,8,4,5,4,5,6,4,2,5,7,8,7,5,2,4,4,6,6,6,4,4,8,7,3,2,5,8,7,White/Caucasian,less than $30k,3,5,1,22,F
206,CHANEL,7,7,7,7,7,7,7,1,7,8,7,8,7,7,7,1,8,1,7,6,6,6,6,7,7,7,7,7,6,7,4,1,1,1,7,7,5,6,1,7,1,6,9,1,1,7,7,1,7,7,6,7,7,4,6,7,6,7,6,3,6,6,7,7,7,7,7,7,7,7,4,2,7,6,White/Caucasian,"$100k-149,999",3,4,1,21,F
267,BUGATTI,4,5,6,5,8,4,6,5,9,4,5,8,6,6,4,2,4,6,6,4,6,6,4,6,4,4,4,6,4,6,6,6,6,6,2,2,2,2,2,9,3,7,8,2,2,8,3,2,8,4,4,3,7,1,6,6,2,2,8,2,3,3,2,2,2,2,7,3,2,3,3,3,3,3,White/Caucasian,"$80-89,999",5,4,0,20,M
298,BMW,4,2,2,1,2,2,3,2,3,2,2,4,4,1,1,1,1,4,7,3,2,2,3,2,3,3,7,8,8,3,4,8,7,5,5,4,4,4,6,6,7,7,7,3,7,7,7,2,7,4,4,4,4,4,5,5,5,5,5,5,5,5,5,7,4,6,3,6,4,6,6,6,5,6,White/Caucasian,,7,4,1,22,F
408,GUCCI,6,6,4,6,4,5,5,4,6,6,5,5,6,5,6,5,5,4,6,4,5,5,5,4,4,5,6,6,6,5,4,5,5,5,4,4,4,4,5,6,5,6,5,6,5,6,5,5,5,5,6,5,4,5,6,6,6,5,5,5,5,6,5,6,5,6,5,5,5,6,6,6,5,5,White/Caucasian,less than $30k,5,4,0,21,M
440,PORSCHE,6,3,4,9,2,5,2,2,7,4,6,8,6,7,3,8,6,4,5,1,6,2,6,4,6,5,6,8,3,6,7,6,6,5,2,2,6,5,7,9,6,8,7,1,1,7,6,1,7,5,7,7,4,2,6,4,7,7,3,5,2,6,3,7,6,7,4,6,6,4,6,4,7,8,White/Caucasian,More than $150k,3,4,0,21,M
383,PORSCHE,6,5,2,4,3,3,2,2,7,5,5,6,6,8,5,6,5,4,8,4,3,2,6,5,4,3,8,8,6,6,4,6,4,6,2,3,2,2,2,7,5,7,7,2,5,6,3,2,7,3,6,6,4,5,7,4,6,5,6,7,2,2,6,7,6,5,3,5,6,5,6,3,6,5,White/Caucasian,More than $150k,4,4,0,21,M
624,chanel,2,2,2,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,5,2,2,2,2,2,2,2,5,2,4,3,2,2,6,5,3,3,3,3,3,5,4,5,5,5,5,5,5,5,5,4,3,3,3,3,2,1,2,3,2,3,2,3,3,5,4,4,5,5,2,2,2,3,5,5,Asian,less than $30k,3,3,1,20,F
313,MOCHINO,4,6,2,2,3,4,2,2,7,3,2,2,7,2,2,6,2,5,7,2,2,3,7,4,4,3,6,7,5,7,3,8,7,7,4,3,2,2,2,6,2,7,7,4,2,8,2,2,8,3,3,2,3,3,3,3,3,3,3,4,3,4,3,6,5,4,6,3,3,3,6,4,7,6,White/Caucasian,More than $150k,3,5,1,20,F
343,MERCEDES,7,4,7,5,7,7,7,7,6,7,3,3,7,3,7,7,6,2,7,7,7,7,7,7,7,7,5,7,7,7,6,7,3,3,2,2,2,5,5,5,7,7,4,2,4,6,3,3,6,3,6,6,3,5,6,6,6,5,6,3,3,6,1,8,5,6,6,6,7,4,4,4,8,3,White/Caucasian,"$60-60,999",4,4,1,20,F
372,PORSCHE,7,7,7,5,8,7,7,7,7,7,7,9,8,7,7,7,5,1,7,6,6,5,7,5,6,6,5,6,6,7,4,2,2,5,2,4,4,4,4,6,7,7,4,4,4,7,9,1,6,5,7,7,3,7,7,7,7,7,7,4,4,5,7,7,5,5,5,7,7,5,5,7,9,7,White/Caucasian,More than $150k,4,5,1,21,F
382,BMW,7,7,6,6,7,7,6,6,6,6,6,7,6,7,7,5,6,4,6,6,7,6,6,6,6,7,7,7,6,6,4,6,5,5,5,5,5,7,4,7,4,7,7,4,4,6,4,4,6,3,4,6,4,6,7,6,7,6,7,5,3,6,3,8,6,6,4,4,6,6,8,8,6,5,White/Caucasian,"$100k-149,999",3,4,1,21,F
389,LOUIS VUITTON,6,3,4,2,6,3,1,8,7,6,6,5,6,1,4,5,5,1,9,5,5,7,6,2,4,3,5,7,6,8,9,7,8,8,1,1,1,2,1,8,9,9,8,1,9,9,9,2,7,1,2,9,2,6,7,6,6,7,6,1,1,4,6,7,2,6,2,6,6,2,2,7,7,7,White/Caucasian,More than $150k,2,4,1,22,F
443,MERCEDES,6,2,4,7,2,2,4,3,7,2,2,3,5,3,5,7,2,2,8,4,6,6,8,7,8,3,8,8,8,6,5,8,8,8,3,4,3,4,4,8,2,8,8,2,2,8,3,2,8,3,6,7,4,5,7,6,8,7,7,5,5,6,6,7,6,5,4,7,6,6,6,6,7,7,White/Caucasian,More than $150k,4,5,0,21,M
533,KITH,8,1,6,3,1,2,4,4,7,3,3,2,7,1,4,3,2,3,8,8,3,3,9,8,6,3,7,8,5,4,5,8,8,3,3,3,2,5,5,3,9,5,7,8,9,4,4,4,3,6,3,5,6,2,8,2,2,2,7,1,2,6,3,3,2,4,7,2,1,8,9,7,6,4,White/Caucasian,less than $30k,5,5,0,22,M
694,BALENCIAGA,7,7,8,8,8,7,7,9,9,6,7,7,8,7,8,9,6,2,9,9,8,9,9,8,7,6,6,6,9,9,5,5,6,7,5,6,6,9,8,7,2,8,7,8,7,8,3,1,7,7,7,7,2,5,5,6,5,7,8,5,1,5,2,5,6,5,1,9,6,7,9,9,6,7,White/Caucasian,"$100k-149,999",5,5,1,21,F
263,CHANEL,1,1,4,3,2,3,3,2,5,2,5,4,2,1,1,2,2,7,9,6,9,6,9,4,5,5,9,9,9,9,8,9,9,9,1,1,1,1,1,9,5,9,9,1,2,9,3,1,9,5,5,4,5,1,6,2,4,3,1,3,1,2,1,5,5,2,3,2,3,1,2,2,4,4,White/Caucasian,less than $30k,4,4,1,22,F
228,GUCCI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,7,7,3,4,3,2,1,8,1,4,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,White/Caucasian,More than $150k,5,3,1,21,F
334,CHANEL,5,3,4,3,3,3,6,3,3,3,3,3,3,5,3,6,4,6,9,3,5,3,5,3,6,3,8,9,9,6,7,3,7,5,2,2,2,2,2,7,2,9,8,1,4,9,2,1,7,5,6,6,5,1,3,3,3,6,4,3,3,3,7,8,2,3,4,4,4,7,7,9,8,8,White/Caucasian,More than $150k,2,5,1,22,F
330,TESLA,6,7,5,8,7,7,6,8,7,6,6,8,8,8,8,8,7,1,7,7,5,6,8,7,7,4,7,7,7,7,4,6,4,6,7,7,7,7,7,5,2,8,8,1,2,7,5,1,7,1,7,4,6,4,4,5,6,6,3,3,3,3,4,6,5,5,5,6,6,6,6,6,7,6,White/Caucasian,less than $30k,4,4,0,22,M
370,CHANEL,2,1,2,1,1,1,1,2,2,1,1,3,1,1,1,2,1,2,7,3,4,6,8,2,5,2,6,7,6,5,6,6,4,2,5,6,4,7,4,7,4,7,7,2,5,7,3,2,5,2,3,4,3,1,2,5,4,6,3,5,2,3,7,5,4,3,1,5,7,3,2,3,7,3,White/Caucasian,More than $150k,3,5,1,22,F
384,PORSCHE,7,4,4,7,8,8,4,3,7,8,7,6,8,6,6,7,3,3,8,7,8,1,5,3,7,5,6,7,8,7,6,4,6,7,1,2,2,6,6,7,6,9,7,3,6,8,8,2,4,6,6,6,8,4,2,3,1,4,8,7,1,8,7,6,6,4,6,6,2,2,7,6,2,5,White/Caucasian,"$100k-149,999",6,5,1,21,F
408,LOUIS VUITTON,9,2,6,6,4,4,2,4,6,2,2,7,6,6,3,6,3,2,9,2,5,6,8,4,5,2,8,8,7,6,3,6,4,4,2,2,3,7,7,8,2,9,8,2,2,8,3,2,8,4,6,6,4,3,6,6,3,5,4,1,4,2,6,6,4,3,4,6,7,4,6,7,7,5,White/Caucasian,"$100k-149,999",6,5,1,21,F
230,ROLEX,6,1,5,6,7,5,8,5,6,5,6,1,6,3,4,6,3,6,6,6,3,5,4,4,8,5,5,9,3,3,5,5,8,5,7,9,4,7,4,7,4,7,4,1,1,7,1,1,6,7,6,4,7,3,6,6,4,7,3,4,6,4,8,6,4,7,9,4,7,4,7,6,5,9,White/Caucasian,More than $150k,3,3,0,20,M
334,NIKE,1,1,1,1,1,1,9,1,1,1,1,1,1,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,9,9,6,9,2,9,9,9,9,9,5,1,5,9,1,1,1,1,1,6,1,3,1,5,4,6,4,5,6,3,3,4,4,4,3,Prefer not to tell,less than $30k,1,4,0,22,M
369,PORSCHE,8,8,5,4,6,4,7,7,8,7,5,7,6,7,6,8,2,1,9,6,7,5,8,7,4,5,8,9,9,6,5,4,7,5,5,4,3,2,2,5,8,7,7,6,6,7,8,5,4,3,4,6,5,4,6,6,7,6,6,2,2,7,5,8,6,6,7,8,6,8,9,7,9,7,White/Caucasian,less than $30k,4,5,1,21,F
285,Lamborghini,3,3,3,3,5,6,5,4,5,3,4,4,4,4,3,7,3,3,9,9,9,3,9,7,9,6,9,8,9,9,7,8,7,8,7,6,6,6,5,6,3,8,7,6,5,6,5,3,7,6,6,7,5,5,6,6,6,5,6,3,8,4,6,6,6,5,6,7,5,7,7,8,6,6,White/Caucasian,More than $150k,5,4,0,21,M
335,PORSCHE,6,7,5,7,9,8,6,7,8,6,7,8,6,6,5,5,6,7,7,7,7,8,9,8,7,7,7,8,6,8,7,7,8,8,5,6,7,6,7,8,3,8,7,3,3,7,4,3,8,8,7,8,5,6,7,5,8,8,8,6,6,7,2,9,7,8,6,8,7,8,8,6,7,5,White/Caucasian,"$90k-99,999",4,4,0,21,M
376,CHANEL,3,1,1,1,1,8,2,1,1,1,1,1,2,1,1,4,1,1,9,6,5,2,9,5,2,1,9,9,5,8,9,7,6,5,5,2,2,2,2,5,7,5,3,6,6,7,1,6,2,1,6,1,7,1,7,1,1,6,5,6,1,6,1,7,6,1,5,2,6,1,1,7,7,6,Other,"$100k-149,999",5,5,1,20,F
402,PORSCHE,5,4,2,2,2,2,2,4,8,2,2,3,6,1,5,7,5,1,9,7,5,5,6,1,5,3,9,9,8,7,8,7,8,5,4,2,1,5,5,8,5,8,8,2,7,9,7,4,8,6,7,6,3,3,7,5,2,5,8,1,2,1,2,3,2,3,8,6,2,5,7,5,7,5,White/Caucasian,"$50k-50,999",5,5,0,21,M
373,BMW,1,1,2,2,6,1,1,1,7,1,2,2,4,2,2,7,2,2,9,2,4,2,7,4,3,2,8,9,7,5,8,9,8,8,2,2,2,2,2,7,8,9,8,6,7,6,7,6,5,2,6,3,3,2,6,4,4,5,7,3,4,5,5,6,5,5,7,6,4,7,7,5,7,7,White/Caucasian,More than $150k,8,5,0,21,M
441,AUDI,9,2,3,2,2,1,4,6,1,3,3,1,3,1,1,1,1,4,9,9,7,2,9,7,5,5,9,9,9,9,9,9,9,9,4,4,4,7,7,9,1,9,9,1,1,9,1,1,9,5,4,2,7,1,6,5,5,2,5,3,2,3,1,2,2,2,3,2,7,7,7,5,7,5,Hispanic,"$100k-149,999",4,5,0,22,M
464,MASERATI,8,7,2,8,9,7,6,5,9,6,6,8,7,7,8,8,7,1,9,8,7,2,8,5,7,2,9,7,9,8,3,4,3,7,2,2,2,4,5,2,8,7,8,7,7,5,7,6,3,3,7,7,5,6,7,2,2,7,7,2,3,6,7,8,8,6,6,7,4,7,7,8,8,7,Asian,"$100k-149,999",6,5,0,20,M
552,CELINE,3,1,5,5,3,5,5,2,6,1,3,1,7,1,1,5,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,5,5,5,5,9,1,9,9,1,1,9,1,1,9,1,5,5,5,5,5,3,3,3,1,1,1,1,1,5,4,4,8,6,5,1,1,1,6,5,Asian,less than $30k,4,4,1,28,F
247,PORSCHE,7,6,4,4,6,6,6,6,9,6,6,7,8,5,6,6,6,3,8,8,8,8,8,8,8,8,3,8,8,8,3,3,8,3,1,3,3,3,3,7,3,8,8,6,6,4,9,3,7,6,6,6,4,6,6,6,6,6,6,6,6,7,6,7,6,6,7,4,3,3,6,6,6,6,Asian,"$50k-50,999",6,3,1,20,F
220,CHANEL,8,8,7,8,7,8,8,7,8,7,8,8,8,8,7,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,2,2,2,2,7,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Asian,less than $30k,4,3,1,20,F
327,DIOR,8,2,3,7,7,6,1,1,6,1,3,4,7,1,1,1,1,1,7,1,2,4,1,1,3,1,9,9,2,4,1,8,9,7,1,1,1,7,8,9,7,9,8,1,3,8,7,1,9,3,3,2,7,1,9,3,2,1,1,1,1,1,4,1,2,2,9,2,1,3,6,9,3,2,Asian,"$80-89,999",4,4,0,22,M
341,JIMMY CHOO,8,7,4,7,6,2,7,5,9,6,6,7,8,4,7,8,1,1,9,9,9,8,8,8,8,7,4,4,8,6,3,3,4,6,3,3,2,5,6,7,6,9,8,3,7,8,9,3,6,7,8,8,3,7,8,7,8,8,8,9,8,3,7,7,8,3,1,7,9,4,9,9,9,8,Asian,More than $150k,4,4,1,21,F
450,MERCEDES,9,6,7,9,9,6,3,6,9,7,8,9,9,7,5,7,6,1,9,6,7,8,8,4,6,6,9,9,7,8,7,4,7,6,1,1,1,1,1,9,2,8,8,3,4,9,7,3,7,2,8,6,5,8,8,7,8,7,9,7,4,6,8,8,8,6,6,3,3,5,9,7,8,8,African American,"$100k-149,999",4,5,0,20,M
397,BMW,4,3,3,6,5,4,5,5,7,4,1,5,6,3,2,5,2,4,7,6,6,3,6,7,6,6,7,7,7,7,7,6,7,6,2,3,2,3,2,6,4,6,6,3,6,5,3,3,6,4,6,3,5,4,8,6,6,6,6,5,6,6,6,5,4,3,6,3,3,5,5,4,7,6,White/Caucasian,"$100k-149,999",3,4,0,20,M
410,CHANEL,5,4,4,6,5,6,3,4,6,4,4,5,6,3,4,5,3,4,6,7,6,6,7,4,4,5,7,7,7,6,8,6,7,7,3,3,3,6,6,8,2,8,7,1,1,8,1,1,8,4,5,5,4,3,6,6,5,6,7,2,3,5,6,6,4,6,5,4,6,6,6,6,6,6,White/Caucasian,"$60-60,999",4,5,1,22,F
382,GUCCI,6,4,4,6,4,4,6,5,6,5,5,4,7,4,4,7,2,3,6,4,7,6,5,6,6,6,6,5,6,6,6,5,7,6,3,3,3,3,3,4,7,4,3,8,7,4,9,8,5,5,5,4,4,4,6,4,6,5,6,6,4,4,6,6,5,4,4,6,5,2,3,5,4,5,Asian,"$100k-149,999",6,4,1,19,F
472,RANGE ROVER,6,4,6,4,5,3,5,5,6,4,3,4,6,5,4,4,5,5,6,6,6,5,6,5,6,5,6,7,6,6,5,6,6,6,3,3,4,4,4,6,4,7,7,2,3,7,6,1,7,5,5,4,6,3,6,6,6,6,6,3,3,5,3,5,6,3,6,3,5,5,4,5,7,4,White/Caucasian,More than $150k,3,5,1,19,F
608,DUCATI,9,7,7,7,9,3,9,7,9,9,9,7,9,3,6,5,9,5,9,9,9,7,9,5,6,6,9,9,9,7,6,5,7,5,4,3,5,7,6,8,6,8,9,2,6,9,9,1,7,9,9,9,6,7,9,8,9,9,9,5,8,7,8,8,6,8,6,8,6,4,9,9,9,6,White/Caucasian,"$100k-149,999",3,5,0,20,M
214,BMW,1,7,3,4,7,8,8,7,8,7,7,7,8,1,3,8,7,3,7,7,7,7,9,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,8,4,4,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,White/Caucasian,More than $150k,3,4,0,22,M
242,MASERATI,1,1,1,9,1,1,1,9,9,1,7,9,5,9,1,9,9,5,9,1,5,1,1,1,5,1,9,9,9,1,1,9,5,5,1,9,9,9,9,9,2,9,9,1,9,9,1,1,9,1,8,1,9,1,9,1,4,1,1,1,1,1,1,6,1,1,5,7,1,1,1,6,5,5,White/Caucasian,"$100k-149,999",4,5,1,20,F
